Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
B6U12,2012-08-14,1.5679,1.5736,1.5663,1.5689,0.0003,+0.02%,78891,114042
B6U12,2012-08-15,1.5672,1.57,1.5658,1.5686,-0.0003,-0.02%,75039,110582
B6U12,2012-08-16,1.568,1.5744,1.5635,1.5738,0.0052,+0.33%,112132,117151
B6U12,2012-08-17,1.5735,1.5738,1.5673,1.569,-0.0048,-0.30%,82777,110554
B6U12,2012-08-20,1.5696,1.5717,1.5676,1.5708,0.0018,+0.11%,61351,109787
B6U12,2012-08-21,1.571,1.5804,1.5705,1.5777,0.0069,+0.44%,116461,118550
B6U12,2012-08-22,1.5779,1.5881,1.5766,1.5866,0.0089,+0.56%,104129,116215
B6U12,2012-08-23,1.5877,1.5912,1.5857,1.5863,-0.0003,-0.02%,98915,117957
B6U12,2012-08-24,1.5858,1.587,1.58,1.5809,-0.0054,-0.34%,99384,115738
B6U12,2012-08-27,1.5815,1.5828,1.579,1.5797,-0.0012,-0.08%,45175,115410
B6U12,2012-08-28,1.5788,1.5836,1.5752,1.582,0.0023,+0.15%,84875,117034
B6U12,2012-08-29,1.5823,1.5854,1.5802,1.5835,0.0015,+0.09%,69308,116262
B6U12,2012-08-30,1.583,1.5874,1.5769,1.5786,-0.0049,-0.31%,78244,117636
B6U12,2012-08-31,1.5783,1.589,1.5778,1.5882,0.0096,+0.61%,107624,118492
B6U12,2012-09-04,1.5878,1.5911,1.585,1.588,-0.0002,-0.01%,120740,133755
B6U12,2012-09-05,1.5873,1.5934,1.5825,1.5904,0.0024,+0.15%,103985,136329
B6U12,2012-09-06,1.5902,1.5942,1.5881,1.5936,0.0032,+0.20%,114645,147288
B6U12,2012-09-07,1.5935,1.6035,1.5922,1.6005,0.0069,+0.43%,148363,161503
B6U12,2012-09-10,1.6012,1.6018,1.5959,1.6,-0.0005,-0.03%,123569,170352
B6U12,2012-09-11,1.5989,1.6084,1.5986,1.607,0.007,+0.44%,147977,181682
B6U12,2012-09-12,1.6069,1.6132,1.6064,1.6103,0.0033,+0.21%,205836,183388
B6U12,2012-09-13,1.6107,1.6174,1.6069,1.6154,0.0051,+0.32%,201661,188473
B6Z12,2012-09-14,1.615,1.625,1.6138,1.6216,0.0062,+0.38%,164213,190521
B6Z12,2012-09-17,1.6223,1.6268,1.6204,1.6233,0.0017,+0.10%,96046,144918
B6Z12,2012-09-18,1.6241,1.6263,1.6214,1.6235,0.0002,+0.01%,78149,151305
B6Z12,2012-09-19,1.6235,1.6266,1.6179,1.6224,-0.0011,-0.07%,94255,153287
